Loading assemblies from: C:\Users\Tal\AppData\Local\Apps\2.0\X5MLETMC.WLM\5NNM9X0W.CBM\mtgo..tion_a7d96b15d2cce030_0003.0004_b5d581d94d59763e
opcode	type
0	WotC.MTGO.Common.Message.UnsetMessage
1	WotC.MTGO.Common.Message.FlsUserLoginReqMessage
2	WotC.MTGO.Common.Message.UserLogoffMessage
3	WotC.MTGO.Common.Message.UserInfoReqMessage
4	WotC.MTGO.Common.Message.UserInfoReqByNameMessage
5	WotC.MTGO.Common.Message.UserInfoModifyMessage
6	WotC.MTGO.Common.Message.UserInfoModifyByNameMessage
7	WotC.MTGO.Common.Message.FlsPlayerEventStateChangedMessage
8	WotC.MTGO.Common.Message.ChangeUserFlagsMessage
9	WotC.MTGO.Common.Message.InsufficientPrivilegesMessage
10	WotC.MTGO.Common.Message.BecomeInvisibleMessage
11	WotC.MTGO.Common.Message.BecomeVisibleMessage
12	WotC.MTGO.Common.Message.FlsLoginEmailChangeReqMessage
13	WotC.MTGO.Common.Message.FlsLoginEmailChangeRespMessage
15	WotC.MTGO.Common.Message.AdmGetMaxActiveCasualMatchesReqMessage
16	WotC.MTGO.Common.Message.AckMessageReqMessage
17	WotC.MTGO.Common.Message.AckMessageRespMessage
18	WotC.MTGO.Common.Message.FafMessageMessage
19	WotC.MTGO.Common.Message.FlsUserReconnectReqMessage
20	WotC.MTGO.Common.Message.FlsUserReconnectRespMessage
21	WotC.MTGO.Common.Message.AdmGetMaxActiveCasualMatchesRespMessage
22	WotC.MTGO.Common.Message.AdmRedemptionProcessOrdersFafMessage
23	WotC.MTGO.Common.Message.HeartbeatAckMessage
24	WotC.MTGO.Common.Message.AdmRedemptionGetConfigReqMessage
25	WotC.MTGO.Common.Message.AdmRedemptionGetConfigRespMessage
26	WotC.MTGO.Common.Message.AdmSetMaxActiveCasualMatchesReqMessage
27	WotC.MTGO.Common.Message.AdmRedemptionSetConfigReqMessage
28	WotC.MTGO.Common.Message.AdmRedemptionSetConfigRespMessage
29	WotC.MTGO.Common.Message.AdmSetMaxActiveCasualMatchesRespMessage
30	WotC.MTGO.Common.Message.FlsClientOptionsChangeReqMessage
31	WotC.MTGO.Common.Message.ClientDebugBlobMessage
32	WotC.MTGO.Common.Message.ChannelOpenMessage
33	WotC.MTGO.Common.Message.ChannelCloseMessage
34	WotC.MTGO.Common.Message.ChannelListReqMessage
35	WotC.MTGO.Common.Message.ChannelJoinMessage
36	WotC.MTGO.Common.Message.ChannelLeaveMessage
37	WotC.MTGO.Common.Message.MarketplaceChannelJoinMessage
38	WotC.MTGO.Common.Message.ChannelInfoReqMessage
39	WotC.MTGO.Common.Message.ChannelDataSetMessage
40	WotC.MTGO.Common.Message.ChannelNameCollisionMessage
41	WotC.MTGO.Common.Message.OpenPrivateChatChannelMessage
42	WotC.MTGO.Common.Message.FlsChannelErrorMessage
43	WotC.MTGO.Common.Message.ChannelMuteReqMessage
44	WotC.MTGO.Common.Message.ChannelRemoveMuteReqMessage
45	WotC.MTGO.Common.Message.ChannelMutedMessage
46	WotC.MTGO.Common.Message.ChannelMuteRemovedMessage
47	WotC.MTGO.Common.Message.DosRedemptionProcessOrdersFafMessage
48	WotC.MTGO.Common.Message.UserListReqV3Message
49	WotC.MTGO.Common.Message.PrivateChannelJoinMessage
50	WotC.MTGO.Common.Message.PrivateChannelPasswordIncorrectMessage
51	WotC.MTGO.Common.Message.PrivateChannelNotFoundMessage
52	WotC.MTGO.Common.Message.InviteToPrivateChannelMessage
53	WotC.MTGO.Common.Message.MarketplaceChangeMessageMessage
